,vendas,acessos,data,gmv,tipo,parceiro
136,1,1,2019-01-02,0.95,Padrão,parceiro297
137,1,1,2019-01-02,0.92,Padrão,parceiro190
138,1,1,2019-01-02,9.97,Padrão,parceiro25
139,1,1,2019-01-02,29.51,Padrão,parceiro405
140,1,1,2019-01-02,52.19,Padrão,parceiro474
141,1,1,2019-01-02,2.85,Padrão,parceiro571
142,1,1,2019-01-02,27.86,Padrão,parceiro439
143,1,1,2019-01-02,11.66,Padrão,parceiro520
144,1,1,2019-01-02,0.0,Padrão,parceiro365
145,1,1,2019-01-02,8.04,Padrão,parceiro551
146,1,1,2019-01-02,19.64,Padrão,parceiro125
147,1,1,2019-01-02,27.72,Padrão,parceiro366
148,1,1,2019-01-02,4.06,Padrão,parceiro310
149,1,1,2019-01-02,14.29,Padrão,parceiro587
150,1,1,2019-01-02,1.35,Padrão,parceiro63
151,1,1,2019-01-02,4.06,Padrão,parceiro588
152,1,1,2019-01-02,0.0,Padrão,parceiro126
153,1,1,2019-01-02,16.49,Padrão,parceiro311
154,1,1,2019-01-02,0.0,Padrão,parceiro192
155,1,1,2019-01-02,23.33,Padrão,parceiro193
156,1,1,2019-01-02,7.43,Padrão,parceiro546
157,1,1,2019-01-02,43.07,Padrão,parceiro194
158,1,1,2019-01-02,18.24,Padrão,parceiro4
159,1,1,2019-01-02,11.08,Padrão,parceiro116
160,1,1,2019-01-02,8.71,Padrão,parceiro589
161,1,1,2019-01-02,0.0,Padrão,parceiro195
162,1,1,2019-01-02,8.55,Padrão,parceiro65
163,1,1,2019-01-02,19.38,Padrão,parceiro303
164,1,1,2019-01-02,151.86,Padrão,parceiro304
165,1,1,2019-01-02,22.84,Padrão,parceiro516
166,1,1,2019-01-02,0.0,Padrão,parceiro521
167,1,1,2019-01-02,14.05,Padrão,parceiro396
168,1,1,2019-01-02,15.71,Padrão,parceiro252
169,1,1,2019-01-02,34.1,Padrão,parceiro196
170,1,1,2019-01-02,9.49,Padrão,parceiro469
171,1,1,2019-01-02,7.62,Padrão,parceiro312
172,1,1,2019-01-02,76.0,Padrão,parceiro368
173,1,1,2019-01-02,15.23,Padrão,parceiro184
174,1,1,2019-01-02,40.0,Padrão,parceiro21
175,1,1,2019-01-02,50.58,Padrão,parceiro573
176,1,1,2019-01-02,348.67,Padrão,parceiro552
177,1,1,2019-01-02,0.37,Padrão,parceiro197
178,1,1,2019-01-02,19.33,Padrão,parceiro476
179,1,1,2019-01-02,5.75,Padrão,parceiro198
180,1,1,2019-01-02,2.5,Padrão,parceiro522
181,1,1,2019-01-02,34.01,Padrão,parceiro54
182,1,1,2019-01-02,8.08,Padrão,parceiro66
183,1,1,2019-01-02,45.29,Padrão,parceiro586
184,1,1,2019-01-02,67.96,Padrão,parceiro597
185,1,1,2019-01-02,28.57,Padrão,parceiro440
186,1,1,2019-01-02,5.22,Padrão,parceiro128
187,1,1,2019-01-02,0.0,Padrão,parceiro247
188,1,1,2019-01-02,4.64,Padrão,parceiro369
189,1,1,2019-01-02,412.38,Padrão,parceiro129
190,1,1,2019-01-02,39.7,Padrão,parceiro574
191,1,1,2019-01-02,10.95,Padrão,parceiro248
192,1,1,2019-01-02,5.7,Padrão,parceiro130
193,1,1,2019-01-02,45.89,Padrão,parceiro359
194,1,1,2019-01-02,52.58,Padrão,parceiro131
195,1,1,2019-01-02,10.45,Padrão,parceiro398
196,1,1,2019-01-02,6.23,Padrão,parceiro370
197,1,1,2019-01-02,94.64,Padrão,parceiro554
198,1,1,2019-01-02,29.9,Padrão,parceiro132
199,1,1,2019-01-02,2.66,Padrão,parceiro555
200,1,1,2019-01-02,260.86,Padrão,parceiro200
201,1,1,2019-01-02,32.83,Padrão,parceiro360
202,1,1,2019-01-02,4.77,Padrão,parceiro371
203,1,1,2019-01-02,50.79,Padrão,parceiro598
204,1,1,2019-01-02,10.0,Padrão,parceiro406
205,1,1,2019-01-03,41.03,Padrão,parceiro539
206,1,1,2019-01-03,4.28,Padrão,parceiro400
207,1,1,2019-01-03,20.07,Padrão,parceiro118
208,1,1,2019-01-03,42.03,Padrão,parceiro119
209,1,1,2019-01-03,5.86,Padrão,parceiro575
210,1,1,2019-01-03,8.0,Padrão,parceiro407
211,1,1,2019-01-03,24.1,Padrão,parceiro427
212,1,1,2019-01-03,88.38,Padrão,parceiro103
213,1,1,2019-01-03,67.83,Padrão,parceiro428
214,1,1,2019-01-03,15.34,Padrão,parceiro519
215,1,1,2019-01-03,15.61,Padrão,parceiro570
216,1,1,2019-01-03,14.9,Padrão,parceiro313
217,1,1,2019-01-03,172.96,Padrão,parceiro58
218,1,1,2019-01-03,7.56,Padrão,parceiro350
219,1,1,2019-01-03,18.95,Padrão,parceiro67
220,1,1,2019-01-03,39.26,Padrão,parceiro508
221,1,1,2019-01-03,31.81,Padrão,parceiro615
222,1,1,2019-01-03,13.47,Padrão,parceiro68
223,1,1,2019-01-03,41.75,Padrão,parceiro509
224,1,1,2019-01-03,11.05,Padrão,parceiro253
225,1,1,2019-01-03,132.82,Padrão,parceiro120
226,1,1,2019-01-03,35.71,Padrão,parceiro308
227,1,1,2019-01-03,12.43,Padrão,parceiro510
228,1,1,2019-01-03,24.62,Padrão,parceiro122
229,1,1,2019-01-03,52.48,Padrão,parceiro180
230,1,1,2019-01-03,12.86,Padrão,parceiro577
231,1,1,2019-01-03,16.1,Padrão,parceiro133
232,1,1,2019-01-03,7.52,Padrão,parceiro187
233,1,1,2019-01-03,7.46,Padrão,parceiro572
234,1,1,2019-01-03,11.23,Padrão,parceiro295
235,1,1,2019-01-03,19.04,Padrão,parceiro465
236,1,1,2019-01-03,42.72,Padrão,parceiro429
237,1,1,2019-01-03,268.04,Padrão,parceiro542
238,1,1,2019-01-03,11.9,Padrão,parceiro188
239,1,1,2019-01-03,0.63,Padrão,parceiro408
240,1,1,2019-01-03,13.18,Padrão,parceiro352
241,1,1,2019-01-03,30.38,Padrão,parceiro363
242,1,1,2019-01-03,36.0,Padrão,parceiro134
243,1,1,2019-01-03,2.14,Padrão,parceiro550
244,1,1,2019-01-03,0.66,Padrão,parceiro431
245,1,1,2019-01-03,8.1,Padrão,parceiro69
246,1,1,2019-01-03,311.08,Padrão,parceiro70
247,1,1,2019-01-03,67.62,Padrão,parceiro135
248,1,1,2019-01-03,1.98,Padrão,parceiro466
249,1,1,2019-01-03,38.21,Padrão,parceiro60
250,1,1,2019-01-03,43.1,Padrão,parceiro123
251,1,1,2019-01-03,107.92,Padrão,parceiro189
252,1,1,2019-01-03,10.23,Padrão,parceiro441
253,1,1,2019-01-03,12.57,Padrão,parceiro242
254,1,1,2019-01-03,114.53,Padrão,parceiro409
255,1,1,2019-01-03,9.52,Padrão,parceiro478
256,1,1,2019-01-03,115.56,Padrão,parceiro438
257,1,1,2019-01-03,3.24,Padrão,parceiro513
258,1,1,2019-01-03,271.41,Padrão,parceiro61
259,1,1,2019-01-03,6.23,Padrão,parceiro617
260,1,1,2019-01-03,9.19,Padrão,parceiro297
261,1,1,2019-01-03,13.94,Padrão,parceiro52
262,1,1,2019-01-03,14.11,Padrão,parceiro410
263,1,1,2019-01-03,28.57,Padrão,parceiro201
264,1,1,2019-01-03,21.34,Padrão,parceiro474
265,1,1,2019-01-03,4.78,Padrão,parceiro571
266,1,1,2019-01-03,37.38,Padrão,parceiro7
267,1,1,2019-01-03,10.24,Padrão,parceiro411
268,1,1,2019-01-03,16.94,Padrão,parceiro136
269,1,1,2019-01-03,14.28,Padrão,parceiro125
270,1,1,2019-01-03,25.03,Padrão,parceiro366
271,1,1,2019-01-03,44.89,Padrão,parceiro310
272,1,1,2019-01-03,7.62,Padrão,parceiro480
273,1,1,2019-01-03,7.33,Padrão,parceiro587
274,1,1,2019-01-03,483.21,Padrão,parceiro27
275,1,1,2019-01-03,4.72,Padrão,parceiro588
276,1,1,2019-01-03,258.06,Padrão,parceiro254
277,1,1,2019-01-03,38.53,Padrão,parceiro442
278,1,1,2019-01-03,5.55,Padrão,parceiro126
279,1,1,2019-01-03,8.09,Padrão,parceiro481
280,1,1,2019-01-03,0.0,Padrão,parceiro192
281,1,1,2019-01-03,2.23,Padrão,parceiro202
282,1,1,2019-01-03,13.33,Padrão,parceiro193
283,1,1,2019-01-03,30.52,Padrão,parceiro546
284,1,1,2019-01-03,28.06,Padrão,parceiro443
285,1,1,2019-01-03,28.51,Padrão,parceiro373
286,1,1,2019-01-03,28.42,Padrão,parceiro194
287,1,1,2019-01-03,19.05,Padrão,parceiro374
288,1,1,2019-01-03,73.13,Padrão,parceiro412
289,1,1,2019-01-03,13.29,Padrão,parceiro4
290,1,1,2019-01-03,13.0,Padrão,parceiro116
291,1,1,2019-01-03,144.56,Padrão,parceiro375
292,1,1,2019-01-03,8.32,Padrão,parceiro65
293,1,1,2019-01-03,117.98,Padrão,parceiro304
294,1,1,2019-01-03,0.0,Padrão,parceiro521
295,1,1,2019-01-03,8.33,Padrão,parceiro367
296,1,1,2019-01-03,10.47,Padrão,parceiro252
297,1,1,2019-01-03,8.52,Padrão,parceiro196
298,1,1,2019-01-03,16.06,Padrão,parceiro5
299,1,1,2019-01-03,68.91,Padrão,parceiro28
300,1,1,2019-01-03,7.61,Padrão,parceiro314
301,1,1,2019-01-03,81.9,Padrão,parceiro368
302,1,1,2019-01-03,47.61,Padrão,parceiro71
303,1,1,2019-01-03,44.9,Padrão,parceiro21
304,1,1,2019-01-03,14.57,Padrão,parceiro255
305,1,1,2019-01-03,5.57,Padrão,parceiro315
306,1,1,2019-01-03,10.06,Padrão,parceiro72
307,1,1,2019-01-03,8.15,Padrão,parceiro203
308,1,1,2019-01-03,20.14,Padrão,parceiro316
309,1,1,2019-01-03,10.68,Padrão,parceiro317
310,1,1,2019-01-03,10.5,Padrão,parceiro199
311,1,1,2019-01-03,39.25,Padrão,parceiro54
312,1,1,2019-01-03,9.98,Padrão,parceiro66
313,1,1,2019-01-03,27.13,Padrão,parceiro586
314,1,1,2019-01-03,29.4,Padrão,parceiro477
315,1,1,2019-01-03,86.96,Padrão,parceiro318
316,1,1,2019-01-03,28.95,Padrão,parceiro440
317,1,1,2019-01-03,3.86,Padrão,parceiro599
318,1,1,2019-01-03,18.57,Padrão,parceiro376
319,1,1,2019-01-03,7.46,Padrão,parceiro128
320,1,1,2019-01-03,82.96,Padrão,parceiro523
321,1,1,2019-01-03,67.83,Padrão,parceiro553
322,1,1,2019-01-03,14.92,Padrão,parceiro524
323,1,1,2019-01-03,33.9,Padrão,parceiro482
324,1,1,2019-01-03,3.47,Padrão,parceiro369
325,1,1,2019-01-03,8.57,Padrão,parceiro129
326,1,1,2019-01-03,3.57,Padrão,parceiro9
327,1,1,2019-01-03,4.76,Padrão,parceiro29
328,1,1,2019-01-03,44.32,Padrão,parceiro483
329,1,1,2019-01-03,2.13,Padrão,parceiro370
330,1,1,2019-01-03,30.0,Padrão,parceiro554
331,1,1,2019-01-03,8.09,Padrão,parceiro137
332,1,1,2019-01-03,87.81,Padrão,parceiro555
333,1,1,2019-01-03,5.2,Padrão,parceiro249
334,1,1,2019-01-03,32.64,Padrão,parceiro434
335,1,1,2019-01-03,350.37,Padrão,parceiro200
336,1,1,2019-01-03,15.76,Padrão,parceiro250
337,1,1,2019-01-03,20.5,Padrão,parceiro598
338,1,1,2019-01-03,3.93,Padrão,parceiro30
339,1,1,2019-01-04,68.67,Padrão,parceiro119
340,1,1,2019-01-04,10.95,Padrão,parceiro307
341,1,1,2019-01-04,22.19,Padrão,parceiro23
342,1,1,2019-01-04,36.66,Padrão,parceiro428
343,1,1,2019-01-04,11.51,Padrão,parceiro570
344,1,1,2019-01-04,2.86,Padrão,parceiro313
345,1,1,2019-01-04,80.9,Padrão,parceiro106
346,1,1,2019-01-04,47.5,Padrão,parceiro362
347,1,1,2019-01-04,12.0,Padrão,parceiro67
348,1,1,2019-01-04,8.8,Padrão,parceiro508
349,1,1,2019-01-04,93.72,Padrão,parceiro120
350,1,1,2019-01-04,33.81,Padrão,parceiro308
351,1,1,2019-01-04,31.56,Padrão,parceiro402
352,1,1,2019-01-04,4.71,Padrão,parceiro122
353,1,1,2019-01-04,17.07,Padrão,parceiro403
354,1,1,2019-01-04,172.07,Padrão,parceiro240
355,1,1,2019-01-04,18.62,Padrão,parceiro109
356,1,1,2019-01-04,3.39,Padrão,parceiro133
357,1,1,2019-01-04,196.57,Padrão,parceiro611
358,1,1,2019-01-04,46.82,Padrão,parceiro295
359,1,1,2019-01-04,33.44,Padrão,parceiro429
360,1,1,2019-01-04,325.71,Padrão,parceiro542
361,1,1,2019-01-04,34.17,Padrão,parceiro188
362,1,1,2019-01-04,32.71,Padrão,parceiro352
363,1,1,2019-01-04,6.31,Padrão,parceiro550
364,1,1,2019-01-04,12.62,Padrão,parceiro431
365,1,1,2019-01-04,225.14,Padrão,parceiro354
366,1,1,2019-01-04,15.09,Padrão,parceiro309
367,1,1,2019-01-04,128.57,Padrão,parceiro135
368,1,1,2019-01-04,215.34,Padrão,parceiro189
369,1,1,2019-01-04,24.66,Padrão,parceiro441
370,1,1,2019-01-04,9.05,Padrão,parceiro478
371,1,1,2019-01-04,16.19,Padrão,parceiro556
372,1,1,2019-01-04,19.05,Padrão,parceiro364
373,1,1,2019-01-04,7.53,Padrão,parceiro444
374,1,1,2019-01-04,45.68,Padrão,parceiro438
375,1,1,2019-01-04,399.33,Padrão,parceiro61
376,1,1,2019-01-04,0.9,Padrão,parceiro297
377,1,1,2019-01-04,38.21,Padrão,parceiro52
378,1,1,2019-01-04,3.12,Padrão,parceiro413
379,1,1,2019-01-04,4.09,Padrão,parceiro190
380,1,1,2019-01-04,1.9,Padrão,parceiro445
381,1,1,2019-01-04,21.0,Padrão,parceiro201
382,1,1,2019-01-04,16.3,Padrão,parceiro474
383,1,1,2019-01-04,17.25,Padrão,parceiro571
384,1,1,2019-01-04,8.52,Padrão,parceiro7
385,1,1,2019-01-04,22.61,Padrão,parceiro520
386,1,1,2019-01-04,6.88,Padrão,parceiro136
387,1,1,2019-01-04,6.12,Padrão,parceiro551
388,1,1,2019-01-04,5.57,Padrão,parceiro467
389,1,1,2019-01-04,4.57,Padrão,parceiro258
390,1,1,2019-01-04,7.71,Padrão,parceiro138
391,1,1,2019-01-04,7.15,Padrão,parceiro366
392,1,1,2019-01-04,6.33,Padrão,parceiro377
393,1,1,2019-01-04,92.14,Padrão,parceiro587
394,1,1,2019-01-04,47.52,Padrão,parceiro191
395,1,1,2019-01-04,0.0,Padrão,parceiro31
396,1,1,2019-01-04,17.04,Padrão,parceiro113
397,1,1,2019-01-04,8.0,Padrão,parceiro139
398,1,1,2019-01-04,4.92,Padrão,parceiro588
399,1,1,2019-01-04,303.3,Padrão,parceiro254
400,1,1,2019-01-04,47.12,Padrão,parceiro442
401,1,1,2019-01-04,0.0,Padrão,parceiro126
402,1,1,2019-01-04,8.09,Padrão,parceiro481
403,1,1,2019-01-04,67.3,Padrão,parceiro525
404,1,1,2019-01-04,28.57,Padrão,parceiro193
405,1,1,2019-01-04,27.8,Padrão,parceiro546
406,1,1,2019-01-04,34.2,Padrão,parceiro373
407,1,1,2019-01-04,56.99,Padrão,parceiro194
408,1,1,2019-01-04,38.34,Padrão,parceiro412
409,1,1,2019-01-04,34.44,Padrão,parceiro4
410,1,1,2019-01-04,10.49,Padrão,parceiro547
411,1,1,2019-01-04,0.0,Padrão,parceiro195
412,1,1,2019-01-04,36.87,Padrão,parceiro65
413,1,1,2019-01-04,22.16,Padrão,parceiro246
414,1,1,2019-01-04,4.85,Padrão,parceiro183
415,1,1,2019-01-04,169.94,Padrão,parceiro304
416,1,1,2019-01-04,24.41,Padrão,parceiro516
417,1,1,2019-01-04,0.0,Padrão,parceiro521
418,1,1,2019-01-04,9.83,Padrão,parceiro367
419,1,1,2019-01-04,108.73,Padrão,parceiro396
420,1,1,2019-01-04,13.38,Padrão,parceiro196
421,1,1,2019-01-04,2.38,Padrão,parceiro469
422,1,1,2019-01-04,12.21,Padrão,parceiro5
423,1,1,2019-01-04,113.24,Padrão,parceiro368
424,1,1,2019-01-04,18.09,Padrão,parceiro184
425,1,1,2019-01-04,31.42,Padrão,parceiro71
426,1,1,2019-01-04,52.47,Padrão,parceiro21
427,1,1,2019-01-04,11.24,Padrão,parceiro573
428,1,1,2019-01-04,45.81,Padrão,parceiro205
429,1,1,2019-01-04,9.0,Padrão,parceiro315
430,1,1,2019-01-04,3.7,Padrão,parceiro319
431,1,1,2019-01-04,7.22,Padrão,parceiro484
432,1,1,2019-01-04,2.13,Padrão,parceiro203
433,1,1,2019-01-04,12.14,Padrão,parceiro316
434,1,1,2019-01-04,11.08,Padrão,parceiro199
435,1,1,2019-01-04,14.95,Padrão,parceiro54
436,1,1,2019-01-04,145.14,Padrão,parceiro73
437,1,1,2019-01-04,8.5,Padrão,parceiro66
438,1,1,2019-01-04,113.19,Padrão,parceiro586
439,1,1,2019-01-04,85.63,Padrão,parceiro597
440,1,1,2019-01-04,14.24,Padrão,parceiro74
441,1,1,2019-01-04,33.26,Padrão,parceiro440
442,1,1,2019-01-04,10.81,Padrão,parceiro376
443,1,1,2019-01-04,8.05,Padrão,parceiro185
444,1,1,2019-01-04,4.92,Padrão,parceiro320
445,1,1,2019-01-04,29.33,Padrão,parceiro140
446,1,1,2019-01-04,155.86,Padrão,parceiro553
447,1,1,2019-01-04,15.23,Padrão,parceiro524
448,1,1,2019-01-04,123.05,Padrão,parceiro129
449,1,1,2019-01-04,1.92,Padrão,parceiro207
450,1,1,2019-01-04,17.36,Padrão,parceiro130
451,1,1,2019-01-04,4.28,Padrão,parceiro75
452,1,1,2019-01-04,6.16,Padrão,parceiro414
453,1,1,2019-01-04,12.98,Padrão,parceiro208
454,1,1,2019-01-04,24.76,Padrão,parceiro359
455,1,1,2019-01-04,31.42,Padrão,parceiro398
456,1,1,2019-01-04,19.45,Padrão,parceiro370
457,1,1,2019-01-04,6.0,Padrão,parceiro554
458,1,1,2019-01-04,11.41,Padrão,parceiro137
459,1,1,2019-01-04,82.83,Padrão,parceiro555
460,1,1,2019-01-04,35.1,Padrão,parceiro249
461,1,1,2019-01-04,38.45,Padrão,parceiro549
462,1,1,2019-01-04,5.24,Padrão,parceiro360
463,1,1,2019-01-04,34.25,Padrão,parceiro557
464,1,1,2019-01-05,23.63,Padrão,parceiro539
465,1,1,2019-01-05,0.67,Padrão,parceiro118
466,1,1,2019-01-05,28.84,Padrão,parceiro100
467,1,1,2019-01-05,22.83,Padrão,parceiro307
468,1,1,2019-01-05,13.85,Padrão,parceiro427
469,1,1,2019-01-05,41.86,Padrão,parceiro103
470,1,1,2019-01-05,10.13,Padrão,parceiro415
471,1,1,2019-01-05,17.37,Padrão,parceiro392
472,1,1,2019-01-05,5.65,Padrão,parceiro606
473,1,1,2019-01-05,90.76,Padrão,parceiro428
474,1,1,2019-01-05,22.83,Padrão,parceiro106
475,1,1,2019-01-05,56.31,Padrão,parceiro16
476,1,1,2019-01-05,13.63,Padrão,parceiro67
477,1,1,2019-01-05,7.36,Padrão,parceiro541
478,1,1,2019-01-05,33.61,Padrão,parceiro508
479,1,1,2019-01-05,13.19,Padrão,parceiro416
480,1,1,2019-01-05,16.75,Padrão,parceiro615
481,1,1,2019-01-05,3.32,Padrão,parceiro68
482,1,1,2019-01-05,25.05,Padrão,parceiro120
483,1,1,2019-01-05,10.48,Padrão,parceiro308
484,1,1,2019-01-05,93.15,Padrão,parceiro372
485,1,1,2019-01-05,19.44,Padrão,parceiro121
486,1,1,2019-01-05,18.48,Padrão,parceiro122
487,1,1,2019-01-05,5.38,Padrão,parceiro378
488,1,1,2019-01-05,31.47,Padrão,parceiro108
489,1,1,2019-01-05,17.28,Padrão,parceiro403
490,1,1,2019-01-05,22.8,Padrão,parceiro240
491,1,1,2019-01-05,29.9,Padrão,parceiro109
492,1,1,2019-01-05,158.0,Padrão,parceiro611
493,1,1,2019-01-05,22.66,Padrão,parceiro607
494,1,1,2019-01-05,31.67,Padrão,parceiro188
495,1,1,2019-01-05,0.39,Padrão,parceiro352
496,1,1,2019-01-05,14.25,Padrão,parceiro550
497,1,1,2019-01-05,42.78,Padrão,parceiro431
